state_code,state_name,contractor_license_required,home_improvement_contract_rules,consumer_lending_license_risk,commercial_lending_license_risk,loan_broker_or_mca_risk,escrow_rules_risk,escrow_backed_advance_risk,assignment_of_payment_rights_risk,insurance_claim_advance_risk,assignment_of_benefits_risk,public_adjuster_risk,money_transmitter_risk,token_collateral_risk,digital_asset_rules,usury_or_interest_cap_notes,required_disclosures,cooling_off_or_cancellation_rules,e_signature_notes,recommended_product_status,blocked_live_actions,attorney_questions,official_sources
HI,Hawaii,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file; rates mentioned: 12%,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See HI.md Section 9,https://mypvl.dcca.hawaii.gov/public-license-search/; https://governor.hawaii.gov/newsroom/dcca-release-hawaii-digital-currency-innovation-lab-to-conclude/; https://cca.hawaii.gov/ins/; https://cca.hawaii.gov/ins/hrs/; https://cca.hawaii.gov/pvl/hire-a-licensed-contractor/
IA,Iowa,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 25%, 2%, 5%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See IA.md Section 9,https://www.legis.iowa.gov/docs/ico/chapter/536.pdf; https://iid.iowa.gov.; https://iid.iowa.gov; https://legiscan.com/IA/bill/SF619/2025; https://dial.iowa.gov
ID,Idaho,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file; rates mentioned: 60%,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See ID.md Section 9,https://dopl.idaho.gov; https://www.doi.idaho.gov; https://www.finance.idaho.gov; https://law.justia.com/codes/idaho/title-26/chapter-29/; https://sos.idaho.gov/uniform-commercial-code/
IL,Illinois,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 9%, 9%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See IL.md Section 9,https://law.justia.com/codes/illinois/2005/chapter67/2356.html; https://idfpr.illinois.gov/content/dam/soi/en/web/idfpr/forms/dacpa-fact-sheet.pdf; https://www.ilga.gov/legislation/ILCS/; https://www.klgates.com/Illinois-Enacts-Its-Own-Digital-Assets-Laws-9-5-2025; https://idoi.illinois.gov
IN,Indiana,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 36%, 21%, 15%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation_consumer_purpose; token_collateral_lock_consumer; liquidation_without_counsel_review; repayment_routing_from_consumer_loans,See IN.md Section 9,https://www.in.gov/dfi/licensing-and-applications/consumer-credit-licensing/; https://www.in.gov/idoi/licensing/resident-adjuster-licensing/contracts-duties-and-responsibilities-of-independent-and-public-adjusters/; https://www.in.gov/pla/; https://iga.in.gov/legislative/2023/bills/house/1329; https://iga.in.gov/legislative/2026/bills/house/1042
KS,Kansas,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 36%, 21%, 18%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See KS.md Section 9,https://www.osbckansas.org/wp-content/uploads/mt2014_01_virtual_currency.pdf; https://insurance.kansas.gov; https://sos.ks.gov/publications/pubs_kar.aspx; https://ksrevisor.gov/statutes/chapters/ch50/050_006_0143.html; https://ag.ks.gov
KY,Kentucky,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 15%, 3%, 2%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See KY.md Section 9,https://www.nipr.com; https://www.law.cornell.edu/regulations/kentucky/806-KAR-9-030; https://apps.legislature.ky.gov/law/kar/titles/806/012/095/; https://apps.legislature.ky.gov; https://www.harborcompliance.com
LA,Louisiana,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See LA.md Section 9,https://law.justia.com/codes/louisiana/revised-statutes/title-22/rs-22-1892/; https://law.justia.com/codes/louisiana/revised-statutes/title-9/rs-9-3550/; https://ofi.la.gov/non-depository/virtual-currency-business-activity/; https://www.ldi.la.gov; https://law.justia.com/codes/louisiana/revised-statutes/title-6/rs-6-1402/
MA,Massachusetts,Varies - see state file,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 12%, 12%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See MA.md Section 9,https://www.mdcourts.gov/data/opinions/cosa/2024/1313s22.pdf; https://www.mass.gov/regulations/209-CMR-2600-small-loans-regulatory-board; https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXV/Chapter93A; https://www.mass.gov/info-details/obtaining-payment-for-your-home-insurance-claim; https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXXII/Chapter175/Section172
MD,Maryland,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 8%, 24%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See MD.md Section 9,https://www.nmlsresourcecenter.org; https://insurance.maryland.gov; https://www.bradley.com; https://www.csbs.org; https://labor.maryland.gov/license/mhic/
ME,Maine,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See ME.md Section 9,https://www.maine.gov/pfr/insurance; https://www.maine.gov/pfr/insurance/consumers/homeowners-or-renters-insurance/homeowners-renters-claims; https://www.law.cornell.edu/regulations/maine/department-02/division-030/chapter-709; https://legislature.maine.gov/statutes/9-A/title9-A.pdf; https://legislature.maine.gov/statutes/32/title32ch79-Asec0.html
MI,Michigan,Yes - state license required,Yes - varies by state; see state file,high,high,high,high,high,low,medium,low,high,high,high,See state file,See state file,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See MI.md Section 9,https://www.michigan.gov/difs/industry/con-finance-mortgage; https://www.legislature.mi.gov/documents/2019-2020/publicact/pdf/2019-PA-0021.pdf; https://www.michigan.gov/difs/news-and-outreach/faq/consumer-finance/money-transmission; https://content.naic.org/sites/default/files/cipr-jir-2023-10.pdf; https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-500-2001
MN,Minnesota,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 50%, 50%, 8%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See MN.md Section 9,https://www.revisor.mn.gov/statutes/cite/47.601; https://mn.gov/commerce/; https://www.csbs.org/; https://mn.gov/commerce/insurance/; https://www.revisor.mn.gov/statutes/cite/334/full
MO,Missouri,Yes - state license required,Yes - varies by state; see state file,high,high,high,high,high,high,high,high,high,high,high,See state file,"See state file; rates mentioned: 75%, 5%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See MO.md Section 9,https://afsaonline.org; https://revisor.mo.gov; https://revisor.mo.gov/main/OneSection.aspx?section=325.015; https://www.sos.mo.gov; https://revisor.mo.gov/main/OneSection.aspx?section=408.500
MS,Mississippi,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 8%, 59%, 3%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See MS.md Section 9,https://law.justia.com/codes/mississippi/title-75/chapter-24/insurance-benefits-roofing-repair-consumer-protection-act/section-75-24-307/; https://billstatus.ls.state.ms.us/documents/2025/html/HB/1100-1199/HB1174PS.htm; https://law.justia.com/codes/mississippi/title-75/chapter-67/article-4/; https://www.mid.ms.gov; https://dbcf.ms.gov/wp-content/uploads/2020/06/Consumer-Loan-Broker-Act-July-1-2005-PDF.pdf
MT,Montana,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file; rates mentioned: 15%,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See MT.md Section 9,"https://globallawexperts.com; https://www.dli.mt.gov; https://csimt.gov.""; https://www49dollarmontanaregisteredagent.com; https://doa.mt.gov/BFID/"
NC,North Carolina,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 16%, 16%, 16%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See NC.md Section 9,https://nccob.nc.gov/news-research/maximum-rate-interest; https://wifpr.wharton.upenn.edu/50-state-review-of-cryptocurrency-and-blockchain-regulation/; https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_75/GS_75-1.1.html; https://nclbgc.org/laws-regulations/; https://www.ncdoi.gov/insurance-industry/form-and-rate-filings/life-and-health/prompt-pay-requirement
ND,North Dakota,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 36%, 36%, 36%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See ND.md Section 9,https://ndlegis.gov/cencode/t26-1c26-8.pdf; https://www.nd.gov/dfi; https://ndlegis.gov/cencode/t13c09-1.pdf; https://ndlegis.gov/cencode/t13c04-1.pdf; https://ndlegis.gov/cencode/t26-1c04.pdf
NE,Nebraska,Registration required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 01%, 36%, 36%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See NE.md Section 9,https://ndbf.nebraska.gov/about/news-publications; https://doi.nebraska.gov/sites/default/files/doc/ConsumerAlertPostLossAssignments_0.pdf; https://doi.nebraska.gov/sites/default/files/doc/NEInsuredHomeownersProtectionAct_1.pdf; https://ndbf.nebraska.gov/industries/consumer-lending-licenses; https://dol.nebraska.gov/conreg
NH,New Hampshire,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 10%, 10%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See NH.md Section 9,https://www.banking.nh.gov/consumer-credit-licensees-registrants; https://law.justia.com/codes/new-hampshire/title-xxxi/chapter-358-a/; https://www.sos.nh.gov/; https://www.insurance.nh.gov/; https://www.banking.nh.gov/consumer-credit-licensees-registrants/debt-adjusters
NJ,New Jersey,Registration required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See NJ.md Section 9,https://www.njconsumeraffairs.gov/hic; https://www.nj.gov/dobi; https://www.nj.gov/dobi/division_insurance/prompt11-22.htm; https://www.nj.gov/dobi/banklicensing/conslend_salesfinance.html; https://www.lowenstein.com/news-insights/publications/client-alerts/new-jersey-wants-its-own-bitlicense-regulation-crypto
NM,New Mexico,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 36%, 10%, 36%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See NM.md Section 9,https://www.rld.nm.gov/financial-institutions/who-we-regulate/money-services-businesses/; https://www.rld.nm.gov/financial-institutions/; https://www.rld.nm.gov/construction-industries/; https://www.osi.state.nm.us; https://law.justia.com/codes/new-mexico/chapter-58/article-15/
NV,Nevada,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file; rates mentioned: 36%,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See NV.md Section 9,https://www.business.nv.gov/financial-institutions/; https://www.leg.state.nv.us/nrs/nrs-624.html; https://www.leg.state.nv.us/nrs/nrs-669.html; https://www.business.nv.gov/news-media/press-releases/2019/financial-institutions/nevada-financial-institutions-division-statement-on-regulation-of-cryptocurrency-in-nevada/; https://www.leg.state.nv.us/nrs/NRS-604C.html
NY,New York,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 00%, 16%, 16%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing; fiat_currency_transmission,See NY.md Section 9,https://nyc-business.nyc.gov/nycbusiness/description/home-improvement-contractor-license; https://www.dfs.ny.gov/apps_and_licensing/money_transmitters; https://www.dfs.ny.gov/industry_guidance/industry_letters/il20230123_guidance_custodial_structures; https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1303191; https://www.dfs.ny.gov/apps_and_licensing/licensed_lenders
OH,Ohio,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 25%, 8%, 6%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See OH.md Section 9,https://codes.ohio.gov/ohio-revised-code/chapter-1315; https://law.justia.com/codes/ohio/title-39/chapter-3901/; https://nipr.com/ohio-non-resident-adjuster-licensing-individual; https://codes.ohio.gov/ohio-administrative-code/rule-3901-1-54; https://com.ohio.gov/divisions-and-programs/financial-institutions
OK,Oklahoma,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 10%, 10%, 17%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See OK.md Section 9,https://www.oid.ok.gov/consumers/; https://law.justia.com/codes/oklahoma/title-14a/; https://www.oklahoma.gov/banking.html; https://www.oklegislature.gov; https://freemanlaw.com/cryptocurrency/oklahoma/
OR,Oregon,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file; rates mentioned: 36%,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See OR.md Section 9,https://dfr.oregon.gov/news/news2024/pages/20240725-assignment-of-benefits-warning.aspx; https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=2159; https://www.ilsainc.com/bulletin/oregon-launches-separate-public-adjuster-license-effective-august-2025/; https://oregon.public.law/statutes/ors_744.515; https://www.nmlsconsumeraccess.org
PA,Pennsylvania,Registration required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 6%, 24%, 6%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See PA.md Section 9,https://www.insurance.pa.gov; https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/031/chapter115/; https://www.dobs.pa.gov; https://codes.findlaw.com/pa/title-63-ps-professions-and-occupations-state-licensed/; https://www.attorneygeneral.gov/protect-yourself/home-improvement/
RI,Rhode Island,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 36%, 3%, 21%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See RI.md Section 9,https://law.justia.com/codes/rhode-island/title-6/chapter-6-26/; https://crb.ri.gov.; https://dbr.ri.gov/divisions/insurance; https://webserver.rilegislature.gov/Statutes/TITLE19/19-14.3/INDEX.htm; https://webserver.rilegislature.gov/Statutes/TITLE19/19-14.2/INDEX.htm
SC,South Carolina,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 75%, 36%, 18%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See SC.md Section 9,https://www.scstatehouse.gov/code/t35c011.php; https://www.scstatehouse.gov/code/t40c011.php; https://www.scstatehouse.gov/code/t38c059.php; https://www.scstatehouse.gov/code/t40c059.php; https://doi.sc.gov/953/Understanding-the-Claim-Payout-Process
SD,South Dakota,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 36%, 36%, 36%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See SD.md Section 9,https://sdlegislature.gov/Statutes; https://uphelp.org/claim-guidance-publications/insurance-consumer-rights-in-south-dakota-2022/; https://sdlegislature.gov/Statutes/58-33-67; https://dlr.sd.gov/banking/legal/documents/11_002_virtual_currency_transmission_in_sd.pdf; https://sdlegislature.gov/Statutes/51A-17
